data downloaded april 25, from https://delphi.cmu.edu/covidcast/indicator/?date=20210419&sensor=fb-survey-smoothed_hh_cmnty_cli and https://delphi.cmu.edu/covidcast/; download from menu covidcast -> explore an indicator; this file is the indicator COVID-Like Symptoms (the value column... and is per 100 individuals ),,,,,,,,
geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
nm,smoothed_cli,3/31/2021,4/5/2021,5,0.6524807,0.1451968,2679.7837,state,fb-survey
nv,smoothed_cli,3/31/2021,4/5/2021,5,0.5860589,0.1675649,1879.0289,state,fb-survey
ny,smoothed_cli,3/31/2021,4/5/2021,5,0.6512435,0.0653951,12469.0014,state,fb-survey
oh,smoothed_cli,3/31/2021,4/5/2021,5,0.7388366,0.0799511,9850.9946,state,fb-survey
ok,smoothed_cli,3/31/2021,4/5/2021,5,0.8761667,0.1440905,3394.8678,state,fb-survey
or,smoothed_cli,3/31/2021,4/5/2021,5,0.4901232,0.1034807,3819.9405,state,fb-survey
pa,smoothed_cli,3/31/2021,4/5/2021,5,0.8317662,0.0777207,11112.0058,state,fb-survey
ri,smoothed_cli,3/31/2021,4/5/2021,5,0.868947,0.2783226,957.987,state,fb-survey
sc,smoothed_cli,3/31/2021,4/5/2021,5,0.8032285,0.1170003,4571.0043,state,fb-survey
sd,smoothed_cli,3/31/2021,4/5/2021,5,0.9107842,0.293549,888.1822,state,fb-survey
tn,smoothed_cli,3/31/2021,4/5/2021,5,0.8498564,0.1105919,5244.3217,state,fb-survey
tx,smoothed_cli,3/31/2021,4/5/2021,5,0.7615591,0.0597985,16828.2716,state,fb-survey
